,alpha,beta,gamma,avg_score
0,0.0001,0.0001,,0.6485849056603774
1,0.0001,0.0005,,0.6297169811320755
2,0.0001,0.001,,0.6297169811320755
3,0.0001,0.005,,0.6179245283018868
4,0.0001,0.01,,0.6179245283018868
5,0.0001,0.05,,0.45754716981132076
6,0.0001,1.0,,0.45754716981132076
7,0.0001,5.0,,0.45754716981132076
8,0.0001,10.0,,0.45754716981132076
9,0.0001,50.0,,0.45754716981132076
10,0.0001,100.0,,0.45754716981132076
11,0.0001,500.0,,0.45754716981132076
12,0.0001,1000.0,,0.45754716981132076
13,0.0001,5000.0,,0.45754716981132076
14,0.0001,10000.0,,0.45754716981132076
15,0.0005,0.0001,,0.6580188679245284
16,0.0005,0.0005,,0.6344339622641509
17,0.0005,0.001,,0.6320754716981132
18,0.0005,0.005,,0.6179245283018868
19,0.0005,0.01,,0.6179245283018868
20,0.0005,0.05,,0.45754716981132076
21,0.0005,1.0,,0.45754716981132076
22,0.0005,5.0,,0.45754716981132076
23,0.0005,10.0,,0.45754716981132076
24,0.0005,50.0,,0.45754716981132076
25,0.0005,100.0,,0.45754716981132076
26,0.0005,500.0,,0.45754716981132076
27,0.0005,1000.0,,0.45754716981132076
28,0.0005,5000.0,,0.45754716981132076
29,0.0005,10000.0,,0.45754716981132076
30,0.001,0.0001,,0.6462264150943396
31,0.001,0.0005,,0.6367924528301887
32,0.001,0.001,,0.6415094339622641
33,0.001,0.005,,0.6320754716981132
34,0.001,0.01,,0.6179245283018868
35,0.001,0.05,,0.45754716981132076
36,0.001,1.0,,0.45754716981132076
37,0.001,5.0,,0.45754716981132076
38,0.001,10.0,,0.45754716981132076
39,0.001,50.0,,0.45754716981132076
40,0.001,100.0,,0.45754716981132076
41,0.001,500.0,,0.45754716981132076
42,0.001,1000.0,,0.45754716981132076
43,0.001,5000.0,,0.45754716981132076
44,0.001,10000.0,,0.45754716981132076
45,0.005,0.0001,,0.6556603773584906
46,0.005,0.0005,,0.6485849056603774
47,0.005,0.001,,0.6462264150943396
48,0.005,0.005,,0.6391509433962265
49,0.005,0.01,,0.6320754716981132
50,0.005,0.05,,0.45754716981132076
51,0.005,1.0,,0.45754716981132076
52,0.005,5.0,,0.45754716981132076
53,0.005,10.0,,0.45754716981132076
54,0.005,50.0,,0.45754716981132076
55,0.005,100.0,,0.45754716981132076
56,0.005,500.0,,0.45754716981132076
57,0.005,1000.0,,0.45754716981132076
58,0.005,5000.0,,0.45754716981132076
59,0.005,10000.0,,0.45754716981132076
60,0.01,0.0001,,0.6556603773584906
61,0.01,0.0005,,0.6391509433962265
62,0.01,0.001,,0.6438679245283019
63,0.01,0.005,,0.6297169811320755
64,0.01,0.01,,0.6391509433962265
65,0.01,0.05,,0.45754716981132076
66,0.01,1.0,,0.45754716981132076
67,0.01,5.0,,0.45754716981132076
68,0.01,10.0,,0.45754716981132076
69,0.01,50.0,,0.45754716981132076
70,0.01,100.0,,0.45754716981132076
71,0.01,500.0,,0.45754716981132076
72,0.01,1000.0,,0.45754716981132076
73,0.01,5000.0,,0.45754716981132076
74,0.01,10000.0,,0.45754716981132076
75,0.05,0.0001,,0.6320754716981132
76,0.05,0.0005,,0.6556603773584906
